Away_Manager_Name,Away_Team_Country,Away_Team_Gender,Away_Team_Name,Away_Team_Score,Competition_Country,Competition_Name,Competition_Stage,Home_Manager_Name,Home_Team_Country,Home_Team_Gender,Home_Team_Name,Home_Team_Score,Referee_Country,Referee_Name,Season_Name,Stadium_Name
Thierry Laurey,France,male,Gazélec Ajaccio,0,France,Ligue 1,Regular Season,Laurent Blanc,France,male,Paris Saint-Germain,2,France,Wilfried Bien,2015/2016,Parc des Princes 
Ghislain Printant,France,male,Bastia,1,France,Ligue 1,Regular Season,Sylvain Ripoll,France,male,Lorient,1,France,Clément Turpin,2015/2016,Stade Yves Allainmat - Le Moustoir
Franck Passi,France,male,Marseille,0,France,Ligue 1,Regular Season,Olivier Guégan,France,male,Stade de Reims,1,France,Benoît Bastien,2015/2016,Stade Auguste-Delaune II 
Rolland Courbis,France,male,Montpellier,0,France,Ligue 1,Regular Season,Philippe Jacques William Montanier,France,male,Rennes,1,France,Mikael Lesage,2015/2016,
Claude Puel,France,male,OGC Nice,3,France,Ligue 1,Regular Season,Jean-Marc Furlan,France,male,Troyes,3,France,Johan Hamel,2015/2016,Stade de l''Aube
Hubert Fournier,France,male,Lyon,1,France,Ligue 1,Regular Season,Jocelyn Gourvennec,France,male,Guingamp,0,France,Antony Gautier,2015/2016,Stade du Roudourou
Michel Der Zakarian,France,male,Nantes,0,France,Ligue 1,Regular Season,Stéphane Moulin,France,male,Angers,0,France,Amaury Delerue,2015/2016,Stade Raymond-Kopa
Willy Sagnol,France,male,Bordeaux,1,France,Ligue 1,Regular Season,Christophe Galtier,France,male,Saint-Étienne,1,France,Nicolas Rainville,2015/2016,Stade Geoffroy-Guichard 
Hervé Renard,France,male,Lille,0,France,Ligue 1,Regular Season,José Leonardo Nunes Alves Sousa Jardim,Monaco,male,AS Monaco,0,France,Benoît Millot,2015/2016,Stade Louis II
Sylvain Ripoll,France,male,Lorient,0,France,Ligue 1,Regular Season,Hubert Fournier,France,male,Lyon,0,France,Benoît Millot,2015/2016,Stade de Gerland
Christophe Galtier,France,male,Saint-Étienne,1,France,Ligue 1,Regular Season,Dominique Arribagé,France,male,Toulouse,2,France,Bartolomeu Varela Teles,2015/2016,Stadium de Toulouse
Olivier Guégan,France,male,Stade de Reims,2,France,Ligue 1,Regular Season,Willy Sagnol,France,male,Bordeaux,1,France,Ruddy Buquet,2015/2016,Stade Matmut Atlantique
Stéphane Moulin,France,male,Angers,2,France,Ligue 1,Regular Season,Rolland Courbis,France,male,Montpellier,0,France,Hakim Ben El Hadj Salem,2015/2016,Stade de la Mosson 
