Unnamed: 0,Home_Team,Away_team,Home_score,Away_score,Season,Result
53678,'Rayo Vallecano',Eibar,1,0,1998-99,win
92469,Murcia,'Sevilla Atletico',2,0,2008-09,win
17265,FC S?e 34,N?es Olympique r?erve,1,1,1980-1981,draw
25915,Angers SCO,FC Mulhouse,1,0,1987-1988,win
25237,Stade Poitevin FC,AAJ blois football,1,1,1969-1970,draw
19704,AAJ blois football,GFC Ajaccio,1,0,1981-1982,win
74880,Olympique Lyonnais,FC Nantes,1,1,1966-1967,draw
112481,LOSC Lille r?erve,USF F?amp,1,0,1986-1987,win
52033,Stade Malherbe Caen,LB Ch?eauroux,1,1,2009-2010,draw
111319,FC Girondins de Bordeaux,FC S?e 34,3,0,1950-1951,win
103805,Montpellier HSC,Valenciennes FC,1,0,2013-2014,win
119557,N?es Olympique,FC Girondins de Bordeaux,1,0,1959-1960,win
105895,Levante,Palamos,1,0,1990-91,win
90793,Tours FC,Vannes OC,1,0,2007-2008,win
48831,Alaves,Extremadura,1,0,1998-99,win
119818,Stade rennais FC r?erve,ALM Evreux,2,0,1984-1985,win
82232,SC Toulon,AS Saint-Etienne,1,0,1990-1991,win
13049,'Sporting de Gijon',Osasuna,1,0,1986-87,win
74088,USL Dunkerque,Stade Malherbe Caen,1,0,1972-1973,win
96697,Barcelona,Cadiz,1,0,1986-87,win
39367,Paris Saint-Germain,Stade brestois 29,1,0,1970-1971,win
73651,USL Dunkerque,FC Rouen 1899,1,0,1978-1979,win
91932,Stade rapha?ois,FC Valence,1,1,1987-1988,draw
74669,Grenoble Foot 38,FC S?e 34,1,0,1983-1984,win
45883,FC Metz,RC Strasbourg Alsace,1,0,2008-2009,win
113084,Stade lavallois MFC,US Cr?eil-Lusitanos,1,1,2021-2022,draw
102494,Le Mans FC,La Roche VF,1,0,1992-1993,win
119648,Sporting Club de Bastia,Olympique d'Al? en C?ennes,1,0,1987-1988,win
28752,AJ Auxerre,Paris Saint-Germain,1,1,1984-1985,draw
3756,Oviedo,'Sporting de Gijon',1,0,1993-94,win
44375,Dijon FCO,Louhans-Cuiseaux FC,1,0,1990-1991,win
105254,Albacete,Logrones,1,1,1997-98,draw
112689,Salamanca,'Atletico de Madrid',1,1,2001-02,draw
87495,FC Girondins de Bordeaux,Stade Poitevin FC,1,1,1979-1980,draw
54731,Evreux Athletic Club,US Saint-Malo,1,1,1988-1989,draw
71645,Angers SCO,AS Monaco FC,1,1,1978-1979,draw
21310,Valenciennes Fc r?erve,AFC Creil,1,0,1978-1979,win
4351,Stade rennais FC,Olympique de Marseille,1,0,1966-1967,win
81483,FC Lorient,Racing Besan?n,2,0,1968-1969,win
14770,GFC Ajaccio,AS Nancy-Lorraine,1,0,2014-2015,win
118116,RC Ancenis-Saint-G??n,VS Chartres football,2,1,1974-1975,win
115551,AS Monaco FC,FC Nantes,1,0,1993-1994,win
60869,Elche,Malaga,1,1,2007-08,draw
61383,TSG 1899 Hoffenheim,FC Schalke 04,0,0,2018,draw
45907,FC Martigues,AS Brignoles,1,0,1973-1974,win
4421,Pau FC,Toulouse Fontaines Club,1,0,1992-1993,win
47040,Sampdoria,Genoa,1,1,2015/2016,draw
119571,Ontinyent,Langreo,1,0,1970-71,win
94687,AS Monaco FC,N?es Olympique,2,0,1973-1974,win
